text,category
Urgent: doubts not cleared in lab,Faculty / Academics
Safety signage missing in Block C,Ragging / Safety
Need alumni mentorship programs during peak hours,Other
Need career guidance sessions since yesterday,Other
Power cut in hostel since morning since yesterday,Hostel
No drinking water near canteen,Canteen
Teaching quality is poor during peak hours,Faculty / Academics
Lights are not working in corridor since yesterday,Infrastructure
Hot water not available in hostel,Hostel
Hot water not available in hostel since yesterday,Hostel
Food allergy info not available since yesterday,Canteen
Bus stop changed without notice since yesterday,Transport
Internal marks not showing since yesterday,Exams / Results
Portal shows error while uploading since yesterday,IT / WiFi
Bus route has been changed suddenly,Transport
Faculty is not responding to doubts since yesterday,Faculty / Academics
No internet in classroom in Block C,IT / WiFi
Toilet is very dirty in Block C,Infrastructure
Exam timetable not released since yesterday,Exams / Results
Urgent: hostel wifi not working,Hostel
Room light is flickering in hostel since yesterday,Hostel
Bus route has been changed suddenly,Transport
Seating arrangement confusion during peak hours,Exams / Results
No seating space in peak hours in Block C,Canteen
VPN access is failing,IT / WiFi
Urgent: security is not available in block b,Ragging / Safety
Faculty is not responding to doubts during peak hours,Faculty / Academics
Result correction request pending,Exams / Results
Bus pass not issued during peak hours,Transport
VPN access is failing in Block C,IT / WiFi
Urgent: no bus available for evening batch,Transport
Question paper had errors,Exams / Results
Doubts not cleared in lab since yesterday,Faculty / Academics
Urgent: result portal is not loading,Exams / Results
Projector not working in seminar hall in Block C,Infrastructure
Bus seats are damaged in Block C,Transport
No ramps for accessibility since yesterday,Infrastructure
WiFi is not working in the lab during peak hours,IT / WiFi
Toilet is very dirty during peak hours,Infrastructure
Mosquito problem in hostel room during peak hours,Hostel
Fees portal not opening during peak hours,Fees / Admin
Revaluation result pending,Exams / Results
Driver drives rashly during peak hours,Transport
WiFi disconnects frequently,IT / WiFi
Projector not working in seminar hall,Infrastructure
Teacher arrives late to class since yesterday,Faculty / Academics
Urgent: faculty is not responding to doubts,Faculty / Academics
Urgent: bus breakdown on the way,Transport
No internet in classroom since yesterday,IT / WiFi
Document verification delayed since yesterday,Fees / Admin
Canteen closes too early since yesterday,Canteen
No quiet zones in library since yesterday,Other
Exam results are delayed since yesterday,Exams / Results
Classroom speakers not working,Infrastructure
Urgent: menu prices not displayed,Canteen
Urgent: need career guidance sessions,Other
Urgent: long waiting time in canteen,Canteen
Urgent: no internet in classroom,IT / WiFi
Urgent: orientation sessions are unclear,Other
Office is not responding since yesterday,Fees / Admin
Urgent: utensils are dirty,Canteen
Urgent: seniors are harassing juniors,Ragging / Safety
Urgent: security guards not attentive,Ragging / Safety
Cracked wall in classroom since yesterday,Infrastructure
Hostel WiFi not working in Block C,Hostel
Need more cultural events since yesterday,Other
Poor lighting in parking area in Block C,Ragging / Safety
Refund not processed since yesterday,Fees / Admin
Fan is not working in class during peak hours,Infrastructure
Need more charging points,Other
Teaching quality is poor in Block C,Faculty / Academics
Internal marks not showing in Block C,Exams / Results
Urgent: exam schedule overlaps,Exams / Results
Security guards not attentive in Block C,Ragging / Safety
Hostel WiFi not working during peak hours,Hostel
No announcement about bus delays in Block C,Transport
Food is overpriced in canteen in Block C,Canteen
Office is not responding during peak hours,Fees / Admin
Teacher is not explaining properly since yesterday,Faculty / Academics
Seniors are harassing juniors since yesterday,Ragging / Safety
Windows are jammed during peak hours,Infrastructure
No bus available for evening batch since yesterday,Transport
Wardens not responding to complaints since yesterday,Hostel
Doubts not cleared in lab since yesterday,Faculty / Academics
Syllabus not completed on time since yesterday,Faculty / Academics
Classroom speakers not working since yesterday,Infrastructure
Urgent: broken bench in classroom,Infrastructure
Exam center changed suddenly in Block C,Exams / Results
WiFi disconnects frequently in Block C,IT / WiFi
Fee deadline extension needed in Block C,Fees / Admin
Classroom speakers not working since yesterday,Infrastructure
Urgent: sports equipment is damaged,Other
Name correction request pending since yesterday,Fees / Admin
No water in hostel bathroom in Block C,Hostel
Room fan is not working in hostel during peak hours,Hostel
Drinking water cooler not working in hostel in Block C,Hostel
Hostel WiFi not working,Hostel
Duplicate fee charged in Block C,Fees / Admin
No escort service at night during peak hours,Ragging / Safety
Urgent: lack of green spaces on campus,Other
No hygienic conditions in canteen since yesterday,Canteen
Bus timings are inconvenient since yesterday,Transport
Seating arrangement confusion in Block C,Exams / Results
Cracked wall in classroom,Infrastructure
Unable to login to student portal in Block C,IT / WiFi
Food is stale in Block C,Canteen
Server is down during submission since yesterday,IT / WiFi
Security is not available in block B since yesterday,Ragging / Safety
Wrong marks updated in portal,Exams / Results
Bus did not come today since yesterday,Transport
Urgent: wifi is not working in the lab,IT / WiFi
Attendance portal is slow in Block C,IT / WiFi
Teacher is not explaining properly,Faculty / Academics
Urgent: driver drives rashly,Transport
Doubts not cleared in lab,Faculty / Academics
Cracked wall in classroom in Block C,Infrastructure
Seating arrangement confusion in Block C,Exams / Results
Internet speed is very slow in Block C,IT / WiFi
No guidance for projects in Block C,Faculty / Academics
Unauthorized people entering campus during peak hours,Ragging / Safety
Doubts not cleared in lab in Block C,Faculty / Academics
Long waiting time in canteen,Canteen
Hostel food quality is very bad during peak hours,Hostel
Need alumni mentorship programs,Other
Exam schedule overlaps in Block C,Exams / Results
Dirty washroom in hostel block in Block C,Hostel
Teacher is not explaining properly,Faculty / Academics
Internet speed is very slow in Block C,IT / WiFi
No dustbin in corridor during peak hours,Infrastructure
Office hours unclear during peak hours,Fees / Admin
No proper announcement system during peak hours,Other
Refund not processed in Block C,Fees / Admin
Exam schedule overlaps,Exams / Results
Threats received from seniors during peak hours,Ragging / Safety
Urgent: need more cultural events,Other
No proper announcement system since yesterday,Other
Admit card download failed in Block C,Exams / Results
Urgent: orientation sessions are unclear,Other
Power cut in hostel since morning since yesterday,Hostel
Urgent: result portal is not loading,Exams / Results
Urgent: campus is too crowded,Other
Bus is overcrowded during peak hours,Transport
College website is not opening in Block C,IT / WiFi
Safety signage missing during peak hours,Ragging / Safety
Urgent: mentor meetings are irregular,Faculty / Academics
No quiet zones in library in Block C,Other
Water leakage in lab in Block C,Infrastructure
Bus pass not issued,Transport
Hostel common area is unhygienic,Hostel
Syllabus not completed on time since yesterday,Faculty / Academics
Sports equipment is damaged in Block C,Other
Urgent: transport fee is too high,Transport
Teacher is not explaining properly during peak hours,Faculty / Academics
Urgent: no drinking water near canteen,Canteen
Wrong marks updated in portal in Block C,Exams / Results
Late announcement of exam changes during peak hours,Exams / Results
Urgent: cracked wall in classroom,Infrastructure
Lack of green spaces on campus during peak hours,Other
Bus stop changed without notice in Block C,Transport
Lift not working in block C in Block C,Infrastructure
Need more cultural events,Other
Need more charging points in Block C,Other
Seniors are harassing juniors,Ragging / Safety
Fee deadline extension needed,Fees / Admin
Air circulation is poor during peak hours,Infrastructure
Portal shows error while uploading during peak hours,IT / WiFi
No guidance for projects during peak hours,Faculty / Academics
Two-factor authentication not working,IT / WiFi
Urgent: faculty is not responding to doubts,Faculty / Academics
Urgent: food allergy info not available,Canteen
Urgent: no notes provided by faculty,Faculty / Academics
Need more cultural events in Block C,Other
No drinking water near canteen during peak hours,Canteen
Urgent: no hygienic conditions in canteen,Canteen
Food is overpriced in canteen since yesterday,Canteen
Office is not responding since yesterday,Fees / Admin
Urgent: classroom speakers not working,Infrastructure
Name correction request pending during peak hours,Fees / Admin
No internet in classroom,IT / WiFi
Poor lighting in parking area in Block C,Ragging / Safety
Name correction request pending during peak hours,Fees / Admin
Bus breakdown on the way since yesterday,Transport
Hostel WiFi not working since yesterday,Hostel
Network issue in library during peak hours,IT / WiFi
Urgent: no guidance for projects,Faculty / Academics
Bus breakdown on the way since yesterday,Transport
Result portal is not loading in Block C,Exams / Results
Urgent: need career guidance sessions,Other
VPN access is failing since yesterday,IT / WiFi
Urgent: no drinking water near canteen,Canteen
